Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
49188,20.0,1,-0.0616815435928356,0.00023551652054509554,4,Calculado
49189,20.0,1,0.03806154433448492,0.0002365821506679232,4,Calculado
49190,20.0,1,-0.021527907869763614,0.00023472686912134834,4,Calculado
49191,21.0,1,,,0,Descartado
49192,21.0,1,-0.024257732890168367,0.0001928729520670665,4,Calculado
49193,21.0,1,-0.05103935959699852,0.00020576667575943075,4,Calculado
49194,21.0,1,-0.015870396930172045,0.00020581281218875883,4,Calculado
49195,21.0,1,0.0048428429357701185,0.00020991079559746435,4,Calculado
49196,21.0,1,0.016234901193148993,0.00021289098400336485,4,Calculado
49197,21.0,1,0.0061971697298671006,0.00019141615185587697,4,Calculado
49198,21.0,1,-0.02095434415916185,0.00022328892999312996,4,Calculado
49199,21.0,1,-0.007855958036298634,0.0002242082885273324,4,Calculado
49200,21.0,1,,,0,Descartado
49201,21.0,1,0.0057044586805133175,0.00021521926896114207,4,Calculado
49202,21.0,1,0.014100756219119239,0.00021444135965328868,4,Calculado
49203,22.0,1,-0.04752430163814725,0.00018287995910717491,4,Calculado
49204,22.0,1,-0.06405964777067698,0.00017289053615419662,4,Calculado
49205,22.0,1,,,0,Descartado
49206,22.0,1,-0.042939115190531535,0.00020848750455922937,4,Calculado
49207,22.0,1,-0.03242509937199745,0.00021150695548453514,4,Calculado
49208,22.0,1,-0.03525511309894664,0.00021420334123882184,4,Calculado
49209,22.0,1,-0.058035132263055386,0.00022079740056944294,4,Calculado
49210,22.0,1,,,0,Descartado
49211,22.0,1,-0.07675194367474354,0.00018819802970451057,4,Calculado
49212,22.0,1,-0.019365193120742013,0.00022371472219054255,4,Calculado
49213,22.0,1,-0.04882974778870289,0.00021676184606104286,4,Calculado
49214,22.0,1,-0.03995776963689753,0.00021413327838378882,4,Calculado
49226,23.0,1,,,0,Descartado
49227,23.0,1,-0.058691742963574475,0.00022096526853559615,3,Calculado
49228,23.0,1,-0.05762684648106398,0.000262098619981695,3,Calculado
49229,23.0,1,0.018594262047640545,0.0002574397396332711,3,Calculado
49230,23.0,1,-0.08626800456118378,0.00026931985989511287,3,Calculado
49231,23.0,1,-0.06333240448177667,0.0002715198734260009,3,Calculado
49232,23.0,1,-0.028919710283495263,0.0002751838791956549,3,Calculado
49233,23.0,1,-0.04979835558714044,0.0002471241930093025,3,Calculado
49234,23.0,1,-0.04461338423588892,0.00026622173460247794,3,Calculado
49235,23.0,1,,,0,Descartado
49236,23.0,1,,,0,Descartado
49237,23.0,1,,,0,Descartado
49238,24.0,1,-0.051265576122574937,0.0001970348593481409,4,Calculado
49239,24.0,1,0.014708184614082862,0.00022319278325786535,4,Calculado
49240,24.0,1,-0.030312075707553614,0.00021680249710812776,4,Calculado
49241,24.0,1,-0.03978214768257962,0.00022511424278224445,4,Calculado
49242,24.0,1,,,0,Descartado
49243,24.0,1,-0.02888136908941122,0.00022622885112503092,4,Calculado
49244,24.0,1,-0.007587165648747681,0.00019927023523329807,4,Calculado
49245,24.0,1,-0.07184639133972227,0.0002208826009419456,4,Calculado
49246,24.0,1,-0.05513440835296478,0.00021829646310051297,4,Calculado
49247,24.0,1,0.1763100133715333,0.00021534256522112304,4,Calculado
49248,24.0,1,-0.011289341960505931,0.00022055488869948326,4,Calculado
49249,24.0,1,-0.03077813499688704,0.00021561390062151435,4,Calculado
49250,25.0,1,-0.04648076869621762,0.0002043310274414583,4,Calculado
49251,25.0,1,,,0,Descartado
49252,25.0,1,-0.009607459738415697,0.0002190778695035171,4,Calculado
49253,25.0,1,,,0,Descartado
49254,25.0,1,-0.04208044246612369,0.0002219876139018803,4,Calculado
49255,25.0,1,-0.019115049868969936,0.00022271056754644535,4,Calculado
49256,25.0,1,-0.033367390233256244,0.0002250808585256289,4,Calculado
49257,25.0,1,-0.04125835391502853,0.00020440286429662378,4,Calculado
49258,25.0,1,-0.026561997153034637,0.00022758509345960535,4,Calculado
