Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
55201,28.0,1,3,55201,55215,28.0,0.03300392609219923,0.0003163033764575595,55215,55253,53.0,-0.17430159165469097,0.0004030941079320694,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.44933250536744324,0.0005418874482280496
55201,28.0,1,4,55201,55215,28.0,0.03300392609219923,0.0003163033764575595,55215,55227,53.0,0.022576517164942335,0.0002845081214890236,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4461538362706595,0.0004586934431016666
55203,33.0,1,0,55203,PROMEDIO,33.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4686524278234978,0.00025266258601755004
55203,33.0,1,1,55203,55167,33.0,-0.06700630349436455,0.00017431521689114117,55167,55253,53.0,-0.05380798315299615,0.0004021027848417335,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.46981588428257426,0.0004724211734844097
55203,33.0,1,2,55203,55167,33.0,-0.06700630349436455,0.00017431521689114117,55167,55227,53.0,0.14307012566663718,0.0002831018560891814,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.4666372151857906,0.00037408479433644645
55203,33.0,1,3,55203,55227,33.0,0.07717566582181361,0.0002402969170602516,55227,55253,53.0,-0.1968781088196333,0.00039849482441450676,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.4709277279321153,0.0004976445058200822
55207,33.0,1,0,55207,PROMEDIO,33.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.6187620058388674,0.00025345865118193587
55207,33.0,1,1,55207,55167,33.0,0.08310022929704095,0.00017752984006343884,55167,55253,53.0,-0.05380798315299615,0.0004021027848417335,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.6199224170739798,0.00047361673791107865
55207,33.0,1,2,55207,55167,33.0,0.08310022929704095,0.00017752984006343884,55167,55227,53.0,0.14307012566663718,0.0002831018560891814,55227,48484,57.0,0.39057339301351796,0.00017148462786149745,0.6167437479771961,0.0003755935071681698
55207,33.0,1,3,55207,55227,33.0,0.2272821986132191,0.00024263894498164558,55227,55253,53.0,-0.1968781088196333,0.00039849482441450676,55253,48484,57.0,0.590630170929935,0.00017637834543702863,0.6210342607235207,0.000498779614104324
